Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Manufacture Part Number,Side
D6,B520C-13-F,TopLayer,SMC_DIO,40.044,56.4007,270,No Description Available,B520C-13-F,Top
D7,B520C-13-F,TopLayer,SMC_DIO,58.716,8.3201,0,No Description Available,B520C-13-F,Top
D8,B520C-13-F,TopLayer,SMC_DIO,63.8859,18.1234,270,No Description Available,B520C-13-F,Top
DS1,LTST-C191KGKT,TopLayer,FP-LTST-C191KGKT-MFG,2.1082,47.9552,180,LED GREEN CLEAR SMD,LTST-C191KGKT,Top
FB1,BLM21PG221SN1D,TopLayer,FP-BLM21-0_2-t0_85-e0_5-IPC_B,7.747,61.8104,180,"Chip Ferrite Bead, 0805, 220次 @ 100MHz, 0.045次, 25%, 2A",MH2029-221Y,Top
J1,ZX62R-B-5P,TopLayer,HIRO-ZX62R-B-5P_V,11.165,66.828,180,"Connector; USBMicro-B,Reverse type, SMT; 5 Position; Right Angle",ZX62R-B-5P(30),Top
J2,215299-4,TopLayer,TE_215299-4,72.8615,64.2067,180,Connector,215299-4,Top
J3,PPTC201LFBN-RC,TopLayer,RHDR20W75P0X254_1X20_5130X254X850P,37.7952,2.667,0,Connector,PPTC201LFBN-RC,Top
L1,SRR1280-100M,TopLayer,IND_BOURNS_SRR1280,51.7128,62.4706,180,No Description Available,SRR1280-100M,Top
L2,SRR1280-100M,TopLayer,IND_BOURNS_SRR1280,61.2886,30.5382,180,No Description Available,SRR1280-100M,Top
P1,640456-3,TopLayer,TECO-640456-3,24.892,66.134,180,"Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 10.03 mm, Tail Length 3.56 mm, -55 to 105 degC",22-11-2032,Top
P2,640456-5,TopLayer,TECO-640456-5,73.4822,28.702,270,"Male Header, Pitch 2.54 mm, 1 x 5 Position, Height 10.03 mm, Tail Length 3.56 mm, 
-55 to 105 degC, RoHS, Bulk",640456-5,Top
P3,640456-4,TopLayer,TECO-640456-4,75.819,13.4112,270,"Male Header, Pitch 2.54 mm, 1 x 4 Position, Height 10.03 mm, Tail Length 3.56 mm, RoHS, Bulk",22-11-2042,Top
Q1,CSD16342Q5A,TopLayer,DQJ8_TEX,40.171,65.118,180,No Description Available,CSD16342Q5A,Top
Q2,CSD16342Q5A,TopLayer,DQJ8_TEX,62.0072,65.118,180,No Description Available,CSD16342Q5A,Top
Q3,CSD16342Q5A,TopLayer,DQJ8_TEX,49.2694,29.8958,270,No Description Available,CSD16342Q5A,Top
Q4,BSC026N02KSGAUMA1,TopLayer,PG-TDSON-8_BSC026N02KSGAUMA1_INF,57.1011,16.349,270,No Description Available,BSC026N02KSG,Top
R1,27R 1%,TopLayer,RESC0603(1608)_N,10.262,58.971,270,27R 0.1W 1% 0603 (1608 Metric)  SMD,CR0603-FX-27R0ELF,Top
R2,27R 1%,TopLayer,RESC0603(1608)_N,11.913,58.971,270,27R 0.1W 1% 0603 (1608 Metric)  SMD,CR0603-FX-27R0ELF,Top
R3,1K 1%,TopLayer,RESC1609X50X30NL10T20,2.5648,57.151,90,,RC0603FR-071KL,Top
R4,Jumper,TopLayer,RESC1609X50X30LL10T20,5.715,57.151,270,,CR0603-J/-000ELF,Top
R5,1K 1%,TopLayer,RESC1609X50X30NL10T20,8.599,57.066,270,,RC0603FR-071KL,Top
R6,Jumper,TopLayer,RESC1609X50X30LL10T20,61.2894,40.9746,270,,CR0603-J/-000ELF,Top
R7,1k 1%,TopLayer,RESC1609X50X30NL10T20,2.159,49.8094,180,,RC0603FR-071KL,Top
R8,27R 1%,TopLayer,RESC0603(1608)_N,77.6394,53.9634,270,27R 0.1W 1% 0603 (1608 Metric)  SMD,CR0603-FX-27R0ELF,Top
R9,27R 1%,TopLayer,RESC0603(1608)_N,75.4706,56.1515,180,27R 0.1W 1% 0603 (1608 Metric)  SMD,CR0603-FX-27R0ELF,Top
R10,27R 1%,TopLayer,RESC0603(1608)_N,75.2674,53.176,180,27R 0.1W 1% 0603 (1608 Metric)  SMD,CR0603-FX-27R0ELF,Top
R11,10K 1%,TopLayer,RESC0603(1608)_N,12.5222,20.6756,0,10K 0.1W 1% 0603 (1608 Metric)  SMD,CR0603-FX-1002ELF,Top
R12,100R 1%,TopLayer,RESC0603(1608)_N,9.0932,20.6248,0,100R 0.1W 1% 0603 (1608 Metric)  SMD,CR0603-FX-1000ELF,Top
R13,10K 1% 0603(1608),TopLayer,RESC1609X55X30LL15T15,78.2138,50.6868,180,"Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",CR0603-FX-1002ELF,Top
R14,10K 1% 0603(1608),TopLayer,RESC1609X55X30LL15T15,71.4313,50.6868,180,"Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",CR0603-FX-1002ELF,Top
R15,Jumper,TopLayer,RESC1609X50X30LL10T20,31.5195,57.471,0,,CR0603-J/-000ELF,Top
R16,Jumper,TopLayer,RESC1609X50X30LL10T20,46.2788,13.4419,270,,CR0603-J/-000ELF,Top
R17,1k 1%,TopLayer,RESC0603(1608)_N,18.6895,57.9805,0,Jumper 0603 (1608 Metric),CR0603-J/-000ELF,Top
R18,1K 1%,TopLayer,RESC1609X50X30NL10T20,26.1605,55.788,0,,RC0603FR-071KL,Top
R19,1K 1%,TopLayer,RESC1609X50X30NL10T20,22.5791,53.7052,0,,RC0603FR-071KL,Top
R20,1K13 1%,TopLayer,RESC0603(1608)_N,25.031,61.2054,270,1K13 0.1W 1% 0603 (1608 Metric)  SMD,RC0603FR-071K13L,Top
R21,1K13 1%,TopLayer,RESC0603(1608)_N,21.3088,60.4554,270,1K13 0.1W 1% 0603 (1608 Metric)  SMD,RC0603FR-071K13L,Top
R22,5.76K 1%,TopLayer,RESC1608X55X25ML10T15,43.7709,42.8625,180,,RC0603FR-075K76L,Top
R23,1M 1%,TopLayer,RESC1608X55X25LL10T15,48.4992,41.2872,270,"Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",RC0603FR-071ML,Top
R24,18.7K 1%,TopLayer,FP-RT0805-MFG,46.5384,40.7247,90,RES SMD 18.7K OHM 1% 1/8W 0805,RT0805FRE0718K7L,Top
R25,10K 1%,TopLayer,FP-RMCF0402-IPC_C,55.4989,43.1293,180,10k次 ㊣1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant,RMCF0402FT10K0,Top
R26,20m 1%,TopLayer,FP-PRL1632-IPC_B,42.3208,49.1105,90,"20 mOhms ㊣1% 1W Chip Resistor Wide 0612 (1632 Metric), Current Sense Thin Film",PRL1632-R020-F-T1,Top
R27,5.1K 1%,TopLayer,RESC1608X55X25ML10T15,46.9884,46.113,270,,RC0603FR-075K1L,Top
R28,4.99k 0.5%,TopLayer,FP-RG1608-IPC_C,60.2292,38.7496,90,"Automotive Metal Thin Film Chip Resistor, 0603, 4.99k次, 0.5%, 25ppm/～C, 0.1W, 100V",RG1608P-4991-D-T5,Top
R29,1K 1%,TopLayer,FP-RC0603-0_55-IPC_C,70.0725,54.8134,90,RES 1K OHM 1% 1/10W 0603,RC0603FR-071KL,Top
R30,5.76K 1%,TopLayer,RESC1608X55X25ML10T15,45.1405,24.9532,90,,RC0603FR-075K76L,Top
R31,1M 1%,TopLayer,RESC1608X55X25LL10T15,44.3465,22.8842,180,"Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",RC0603FR-071ML,Top
R32,18.7K 1%,TopLayer,FP-RT0805-MFG,41.9189,25.6904,270,RES SMD 18.7K OHM 1% 1/8W 0805,RT0805FRE0718K7L,Top
R33,23.7K 1%,TopLayer,FP-AC0402-MFG,47.1457,17.7444,180,RES SMD 23.7K OHM 1% 1/16W 0402,AC0402FR-0723K7L,Top
R34,50m 1%,TopLayer,FP-CSR1206-IPC_A,53.2111,15.4202,90,"General Purpose Thick Film Chip Resistor, 1206, 50m次, 1%, 100ppm/～C, 0.5W",CSR1206FK50L0,Top
R35,5.1K 1%,TopLayer,RESC1608X55X25ML10T15,43.8408,24.9532,270,,RC0603FR-075K1L,Top
R36,1K 1%,TopLayer,FP-RC0603-0_55-IPC_C,43.2267,15.979,0,RES 1K OHM 1% 1/10W 0603,RC0603FR-071KL,Top
R37,1.69K 1%,TopLayer,RESC1608X55X25NL10T15,49.2683,15.979,0,,RC0603FR-071K69L,Top
R38,2.2K,TopLayer,FP-SR0402-MFG,69.0042,12.1428,0,RES 2.2K OHM 1% 1/5W 0402,SR0402FR-7T2K2L,Top
